State,EpiWeek,StartDate,Confirmed
Edo,39,21/09/2020,2
Ondo,39,21/09/2020,5
Plateau,39,21/09/2020,0
Taraba,39,21/09/2020,0
Bauchi,40,28/09/2020,0
Ebonyi,40,28/09/2020,0
Edo,40,28/09/2020,1
Ondo,40,28/09/2020,1
Plateau,40,28/09/2020,0
Taraba,40,28/09/2020,0
Bauchi,41,05/10/2020,0
Ebonyi,41,05/10/2020,1
Edo,41,05/10/2020,1
Ondo,41,05/10/2020,3
Plateau,41,05/10/2020,0
Taraba,41,05/10/2020,0
Bauchi,42,12/10/2020,0
Ebonyi,42,12/10/2020,0
Edo,42,12/10/2020,6
Ondo,42,12/10/2020,5
Plateau,42,12/10/2020,0
Taraba,42,12/10/2020,0
Bauchi,43,19/10/2020,0
Ebonyi,43,19/10/2020,0
Edo,43,19/10/2020,2
Ondo,43,19/10/2020,1
Plateau,43,19/10/2020,0
Taraba,43,19/10/2020,0
Bauchi,44,26/10/2020,1
Ebonyi,44,26/10/2020,1
Edo,44,26/10/2020,5
Ondo,44,26/10/2020,4
Plateau,44,26/10/2020,0
Taraba,44,26/10/2020,0
Bauchi,45,02/11/2020,0
Ebonyi,45,02/11/2020,0
Edo,45,02/11/2020,1
Ondo,45,02/11/2020,4
Plateau,45,02/11/2020,0
Taraba,45,02/11/2020,0
Bauchi,46,09/11/2020,0
Ebonyi,46,09/11/2020,0
Edo,46,09/11/2020,0
Ondo,46,09/11/2020,2
Plateau,46,09/11/2020,0
Taraba,46,09/11/2020,0
Bauchi,47,16/11/2020,4
Ebonyi,47,16/11/2020,1
Edo,47,16/11/2020,3
Ondo,47,16/11/2020,1
Plateau,47,16/11/2020,0
Taraba,47,16/11/2020,0
Bauchi,48,23/11/2020,1
Ebonyi,48,23/11/2020,0
Edo,48,23/11/2020,2
Ondo,48,23/11/2020,3
Plateau,48,23/11/2020,0
Taraba,48,23/11/2020,0
Bauchi,49,30/11/2020,1
Ebonyi,49,30/11/2020,0
Edo,49,30/11/2020,0
Ondo,49,30/11/2020,3
Plateau,49,30/11/2020,0
Taraba,49,30/11/2020,0
Bauchi,50,07/12/2020,0
Ebonyi,50,07/12/2020,0
Edo,50,07/12/2020,2
Ondo,50,07/12/2020,2
Plateau,50,07/12/2020,0
Taraba,50,07/12/2020,1
Bauchi,51,14/12/2020,0
Ebonyi,51,14/12/2020,0
Edo,51,14/12/2020,6
Ondo,51,14/12/2020,6
Plateau,51,14/12/2020,0
Taraba,51,14/12/2020,0
Bauchi,52,21/12/2020,1
Ebonyi,52,21/12/2020,1
Edo,52,21/12/2020,1
Ondo,52,21/12/2020,3
Plateau,52,21/12/2020,0
Taraba,52,21/12/2020,0
Bauchi,53,28/12/2020,1
Ebonyi,53,28/12/2020,0
Edo,53,28/12/2020,5
Ondo,53,28/12/2020,0
Plateau,53,28/12/2020,1
Taraba,53,28/12/2020,0
