"LGA","Year","CroplandESA_pw","AgricultureESA_pw","UrbanESA_pw","ForestESA_pw"
"Akoko North East","2016",0.0593847100237797,0.223826206109977,0.169882734572706,0.596139897596047
"Akoko North West","2016",0.0529568357628369,0.184562528693481,0.0783193242555112,0.732234234440231
"Akoko South East","2016",0.038132160879928,0.129313794984924,0.0333814067726467,0.824526715850592
"Akoko South West","2016",0.0612001531400045,0.174935105625933,0.112075999244313,0.684206146259069
"Akuku Toru","2016",0,0.000588404422745704,0.0101373715516631,0.90567271290829
"Akure North","2016",0.457758060938043,0.713233060821926,0.123731758154233,0.159567953278142
"Akure South","2016",0.262952173460579,0.345902191788416,0.595351854082315,0.0575049246973572
"Akwanga","2016",0.167800514213576,0.415506616558928,0.0658135980325926,0.151690927380115
"Albasu","2016",0.956097477121528,0.968381408801986,0.023534015745221,0
"Aleiro","2016",0.544739363194132,0.607716174463881,0.0544016436643189,0.000659816074146974
"Alimosho","2016",0.0156526535958729,0.0180982845308073,0.962618136396333,0.0189339845999103
"Alkaleri","2016",0.693263414464613,0.779265065986303,0.0184683238147157,0.023275994400195
"Amuwo-Odofin","2016",0.00184953436261631,0.00431980793799292,0.89254639398419,0.0638516991536624
"Anambra East","2016",0.377273706521989,0.509319789109346,0.0762763435968238,0.117599387998365
"Anambra West","2016",0.0426480808752494,0.0940932636542746,0.00782085861399667,0.432253876602361
"Anaocha","2016",0.0417066360292258,0.294932106345551,0.0335274897510984,0.419506375462732
"Andoni","2016",0.0860116104056478,0.110892501266969,0.0249752590722702,0.63993867264461
"Aninri","2016",0.296132822268405,0.652920626684832,0,0.179003799413025
"Aniocha North","2016",0.386824660761354,0.782698667841962,0.0323012602263922,0.15835444040019
"Aniocha South","2016",0.575231329776032,0.705833034170093,0.0394566888883373,0.180377316085112
"Anka","2016",0.917542974690567,0.957344983174213,0.0181768699353994,0.000202843718295465
"Ankpa","2016",0.057047721965716,0.238423271993471,0.0793623087862318,0.650730998595809
"Apa","2016",0.127100632761089,0.481499602292249,0.00641545696037124,0.478334613244885
"Apapa","2016",0,0,0.978029135200041,0.0043904318193543
"Ardo-Kola","2016",0.75697420925028,0.833035309550655,0.0124708054160931,0.0512203941275457
"Arewa-Dandi","2016",0.58186500030762,0.852657465907712,0.0122072341824217,0
"Argungu","2016",0.63210145893165,0.828853148238021,0.0656693786723399,0
"Arochukwu","2016",0.513491436308939,0.830654596521559,0.0331687288926942,0.12443828282561
"Asa","2016",0.037090154757436,0.143178342959905,0.0350943658972716,0.0246583093125689
