"LGA","Year","CroplandESA_pw","AgricultureESA_pw","UrbanESA_pw","ForestESA_pw"
"25_1","2016",0.0459491962636477,0.0646330847462445,0.877002925552452,0.0401598574126266
"26_1","2016",0.51756580847896,0.688091021099896,0.064774059052481,0.125259010579363
"26_2","2016",0.403424604280245,0.58561326322502,0.00649154577449825,0.165509704191153
"26_3","2016",0.417886555382211,0.595141812593427,0.252053852775408,0.0708305115289107
"26_4","2016",0.32754554781274,0.499322860563582,0.0285965910475538,0.353982520001015
"27_1","2016",0.588963164045493,0.70803796154318,0.242483333377482,0.0195084729569815
"27_10","2016",0.941642800799947,0.976638192801152,0.0126710204542689,0.000066926714307178
"27_2","2016",0.474019422872973,0.523638071619443,0.014307429792043,0.120162047121586
"27_3","2016",0.479033650688046,0.540665921735268,0.415505869333033,0.0174756036304704
"27_4","2016",0.445285211159879,0.59660792074984,0.0273918277401145,0.17500947357781
"27_5","2016",0.456072450073094,0.619342250375366,0.160479410103938,0.0116286416195656
"27_6","2016",0.816666826991915,0.883401407439602,0.0875592852137103,0.000902193594151606
"27_7","2016",0.421012896137881,0.561643074476397,0.0206431172603284,0.237186792265422
"27_8","2016",0.769025832482579,0.840186834642347,0.0131996457335564,0.0836164079420479
"27_9","2016",0.672468134510125,0.815971502080762,0.0208269102391576,0.0130880307763256
"28_1","2016",0.406533971614857,0.510104364981249,0.400030855,0.0669252998170486
"28_2","2016",0.587121808589624,0.724506564316812,0.17687930733133,0.0819314406141472
"29_1","2016",0.180169272945376,0.326932549220884,0.100843854626503,0.559010330630789
"29_2","2016",0.319289852302342,0.442770430105459,0.176943595182534,0.358074927211728
"3_1","2016",0.439542811415623,0.645379405683573,0.0812650164215703,0.256411313777442
"30_1","2016",0.319003842301423,0.509880038135434,0.217950343226405,0.237632853155453
"31_1","2016",0.235572333264691,0.542810583472997,0.202021884282545,0.0247644423063077
"31_2","2016",0.211863019545718,0.280051357627719,0.707384491095793,0.00625230576212856
"31_3","2016",0.0870443790551853,0.243532515580685,0.0678903876438718,0.267162159414158
"31_4","2016",0.282278907936203,0.67780000901999,0.0681765424313738,0.142247354966669
"32_1","2016",0.39628684508139,0.622535217877255,0.228972927902372,0.0327810300160917
"32_2","2016",0.571565685896759,0.869067739359749,0.0271286433448247,0.0452117493507282
"32_3","2016",0.78555828074161,0.910536627489985,0.0255426415497271,0.00826331775103356
